fipstate,naics,emp,qp1,ap,est,year
1,113///,8207,44757,195720,1082,1998
1,114///,93,363,1532,30,1998
1,115///,1614,10181,45519,194,1998
1,211///,804,9477,38146,38,1998
1,212///,7074,79136,318295,159,1998
1,213///,988,8163,32187,81,1998
1,221///,15851,280349,922056,472,1998
1,233///,30226,198376,928823,3071,1998
1,234///,14674,81327,399911,759,1998
1,235///,56107,288931,1306373,6121,1998
1,311///,34715,168750,723988,301,1998
1,312///,2428,14369,61032,29,1998
1,313///,22364,131973,547735,108,1998
1,314///,8392,46203,191421,111,1998
1,315///,35762,132353,531048,346,1998
1,316///,291,1016,4668,17,1998
1,321///,26481,150119,672062,488,1998
1,322///,18671,218851,930173,93,1998
1,323///,7268,45805,195861,500,1998
1,324///,2591,25369,107654,47,1998
1,325///,14007,173408,682442,206,1998
1,326///,21353,163507,678711,217,1998
1,327///,9495,72402,303328,322,1998
1,331///,23109,217373,879225,140,1998
1,332///,30834,210895,893900,1018,1998
1,333///,17906,123193,529744,305,1998
1,334///,19683,137446,563253,138,1998
1,335///,7725,54728,228349,91,1998
1,336///,26973,269444,1102761,212,1998
1,337///,15018,79396,333654,450,1998
1,339///,7356,41501,180647,349,1998
1,421///,47927,389768,1669077,4422,1998
1,422///,31220,208401,871023,1912,1998
1,441///,29847,184396,802834,2785,1998
1,442///,8667,38631,166934,1269,1998
1,443///,4409,20887,93044,718,1998
1,444///,18057,90122,385467,1649,1998
1,445///,43672,133653,534950,2083,1998
1,446///,13213,54276,231022,1559,1998
1,447///,19816,55021,232841,2998,1998
1,448///,17980,52130,218288,2375,1998
1,451///,6856,22133,92899,948,1998
1,452///,48018,166002,630059,937,1998
1,453///,10646,34693,151280,2008,1998
1,454///,5304,26982,112321,610,1998
1,481///,0,0,0,45,1998
1,483///,503,4671,19518,19,1998
1,484///,29450,184359,793345,2321,1998
1,485///,1850,5351,22645,98,1998
1,486///,0,0,0,29,1998
1,487///,0,0,0,31,1998
1,488///,6359,47465,192218,384,1998
1,492///,5562,39733,160935,133,1998
1,493///,1599,8720,40116,112,1998
1,511///,9025,69314,289213,307,1998
1,512///,1487,4520,18812,166,1998
1,513///,22592,209432,839276,887,1998
1,514///,3770,27094,89068,149,1998
1,521///,0,0,0,1,1998
1,522///,39689,322944,1269754,2813,1998
1,523///,0,0,0,406,1998
1,524///,24967,253235,1024534,2507,1998
1,525///,0,0,0,6,1998
1,531///,13082,64409,276259,2581,1998
1,532///,8569,40952,177409,1110,1998
1,533///,57,624,7331,19,1998
1,541///,65195,574383,2519999,7983,1998
1,551///,21064,264720,980868,452,1998
1,561///,96701,345551,1615647,3743,1998
1,562///,3677,25312,90947,219,1998
1,611///,18831,75348,309287,704,1998
1,621///,64240,559621,2588307,5925,1998
1,622///,85599,579720,2428470,143,1998
1,623///,32708,124877,504571,649,1998
1,624///,18564,51822,216652,1760,1998
1,711///,2748,8904,37362,176,1998
1,712///,504,1769,7983,56,1998
1,713///,10215,27768,127197,809,1998
1,721///,15201,40238,178997,772,1998
1,722///,112053,231716,996674,6236,1998
1,811///,19342,103327,446894,3747,1998
1,812///,17080,59969,256237,2594,1998
1,813///,43638,122729,516508,5469,1998
2,113///,0,0,0,68,1998
2,114///,528,3736,18859,242,1998
2,115///,0,0,0,18,1998
2,211///,2462,85908,268718,21,1998
2,212///,1120,17843,78156,47,1998
2,213///,5148,84025,355788,62,1998
2,221///,1762,25717,109319,85,1998
2,233///,3949,31512,173852,716,1998
2,234///,2972,33584,198862,261,1998
2,235///,5994,50548,270214,1302,1998
2,311///,8989,52385,196968,154,1998
2,312///,0,0,0,9,1998
2,313///,0,0,0,1,1998
2,314///,0,0,0,15,1998
2,315///,0,0,0,10,1998
2,316///,0,0,0,3,1998
2,321///,0,0,0,30,1998
2,322///,0,0,0,2,1998
2,323///,458,3071,13359,53,1998
2,324///,537,11071,49696,13,1998
2,325///,0,0,0,7,1998
2,326///,55,569,4016,12,1998
2,327///,0,0,0,27,1998
2,331///,0,0,0,1,1998
2,332///,408,3117,15397,53,1998
2,333///,0,0,0,8,1998
2,334///,0,0,0,3,1998
2,335///,0,0,0,5,1998
2,336///,0,0,0,18,1998
2,337///,0,0,0,23,1998
